Time_s	Speed_km/h
631	10.1734017094017
632	9.13548717948717
633	8.08123076923077
634	7.04389743589743
635	6.0417094017094
636	5.11562393162393
637	4.32475213675213
638	3.70977777777777
639	3.30967521367521
640	3.14810256410256
641	3.2368547008547
642	3.56263247863248
643	4.07764102564102
644	4.74933333333333
645	5.5282735042735
646	6.42577777777777
647	7.3968547008547
648	8.38102564102564
649	9.37223931623931
650	10.3537094017094
651	11.291452991453
652	12.1783247863248
653	13.0302905982906
654	13.8297777777778
655	14.5508376068376
656	15.1813675213675
657	15.7011282051282
658	16.1062564102564
659	16.4113504273504
660	16.6199316239316
661	16.7517264957265
662	16.8372991452991
663	16.8953162393162
664	16.9527863247863
665	17.0152136752137
666	17.0631794871795
667	17.0691282051282
668	16.9953162393162
669	16.8164444444444
670	16.5082051282051
671	16.0743247863248
672	15.4837606837607
673	14.7446495726496
674	13.8631452991453
675	12.8480341880342
676	11.7451965811966
677	10.5726495726496
678	9.36444444444444
679	8.14423931623931
680	6.93921367521367
681	5.77111111111111
682	4.65336752136752
683	3.60622222222222
684	2.64396581196581
685	1.79422222222222
686	1.09818803418803
687	0.568854700854699
688	0.208478632478631
689	0.00447863247863139
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0.1075
756	0.215
757	0.432752136752136
758	0.505606837606837
759	0.65059829059829
760	0.88711111111111
761	1.20697435897436
762	1.62362393162393
763	2.15497435897436
764	2.81651282051282
765	3.61135042735043
766	4.54557264957265
767	5.60868376068376
768	6.79552136752137
769	8.09500854700854
770	9.49904273504273
771	10.980547008547
772	12.5038632478632
773	14.0475897435897
774	15.5650598290598
775	17.0368888888889
776	18.4362051282051
777	19.7402393162393
778	20.9333675213675
779	21.9645811965812
780	22.8377777777778
781	23.5526495726496
782	24.1226666666667
783	24.5704615384615
784	24.9019145299145
785	25.1014017094017
786	25.1920341880342
787	25.199829059829
788	25.1635555555556
789	25.1055042735043
790	25.0329914529914
791	24.9574358974359
792	24.8861196581196
793	24.8283076923077
794	24.7917948717949
795	24.7812307692307
796	24.778735042735
797	24.8021196581196
798	24.8494017094017
799	24.9092991452991
800	24.9850598290598
801	25.0779145299145
802	25.1829743589743
803	25.2766495726496
804	25.3487863247863
805	25.4184273504273
806	25.4940854700855
807	25.5640683760684
808	25.6117606837607
809	25.6220854700855
810	25.5846153846154
811	25.5279316239316
812	25.4431111111111
813	25.3363076923077
814	25.1700854700855
815	24.9195213675214
816	24.5516239316239
817	24.0482393162393
818	23.3847521367521
819	22.5588376068376
820	21.5657094017094
821	20.4091965811966
822	19.1171623931624
823	17.6927521367521
824	16.1694358974359
825	14.568547008547
826	12.9193162393162
827	11.2550085470085
828	9.61367521367521
829	8.03613675213675
830	6.56109401709401
831	5.1937094017094
832	3.96143589743589
833	2.86482051282051
834	1.91832478632478
835	1.14266666666666
836	0.578393162393161
837	0.204752136752135
838	0
839	0
840	0
841	0.0315213675213665
842	0.222735042735042
843	0.480376068376067
844	0.812170940170939
845	1.22796581196581
846	1.7302905982906
847	2.32711111111111
848	3.01572649572649
849	3.79347008547008
850	4.64317948717949
851	5.55606837606837
852	6.51073504273504
853	7.48249572649572
854	8.45261538461538
855	9.42632478632478
856	10.3751111111111
857	11.2904615384615
858	12.1402393162393
859	12.9075555555556
860	13.5927863247863
861	14.1881709401709
862	14.6631452991453
863	15.0163760683761
864	15.2466324786325
865	15.3650256410256
866	15.4036581196581
867	15.3819487179487
868	15.336547008547
869	15.2747008547008
870	15.2011282051282
871	15.1065982905983
872	14.974188034188
873	14.7868034188034
874	14.5326153846154
875	14.2156239316239
876	13.8185641025641
877	13.3584273504273
878	12.853641025641
879	12.3170256410256
880	11.7697094017094
881	11.2080683760684
882	10.6351452991453
883	10.0651623931624
884	9.48413675213675
885	8.93295726495726
886	8.40249572649572
887	7.91155555555555
888	7.47917948717948
889	7.11993162393162
890	6.85617094017094
891	6.68810256410256
892	6.62666666666666
893	6.65435897435897
894	6.74461538461538
895	6.88188034188034
896	7.036
897	7.17764102564102
898	7.2745641025641
899	7.33107692307692
900	7.33309401709401
901	7.26820512820512
902	7.13794871794871
903	6.93025641025641
904	6.632
905	6.26813675213675
906	5.84707692307692
907	5.36574358974359
908	4.84102564102564
909	4.28328205128205
910	3.72047863247863
911	3.14868376068376
912	2.60150427350427
913	2.0902905982906
914	1.62331623931624
915	1.21555555555555
916	0.864547008547008
917	0.585128205128204
918	0.379452991452991
919	0.250188034188034
920	0.188068376068376
921	0.169743589743589
922	0.177333333333333
923	0.193675213675213
924	0.22451282051282
925	0.271897435897436
926	0.321264957264957
927	0.364478632478632
928	0.402529914529914
929	0.447350427350427
930	0.514290598290598
931	0.582940170940171
932	0.647999999999999
933	0.719008547008547
934	0.803692307692307
935	0.910119658119658
936	1.04598290598291
937	1.20328205128205
938	1.37736752136752
939	1.5751452991453
940	1.81692307692308
941	2.08413675213675
942	2.39025641025641
943	2.7448547008547
944	3.15805128205128
945	3.62468376068376
946	4.15572649572649
947	4.71921367521367
948	5.34136752136752
949	6.01052991452991
950	6.73818803418803
951	7.50926495726496
952	8.32748717948718
953	9.16929914529914
954	10.029264957265
955	10.8716581196581
956	11.6858461538461
957	12.4705982905983
958	13.2290256410256
959	13.9603760683761
960	14.6316923076923
961	15.2466324786325
962	15.7914871794872
963	16.2551111111111
964	16.633264957265
965	16.9270085470085
966	17.1340854700855
967	17.2502222222222
968	17.2695042735043
969	17.1855042735043
970	16.9668034188034
971	16.6081025641026
972	16.0906324786325
973	15.4803418803419
974	14.761811965812
975	13.9753846153846
976	13.1368547008547
977	12.2470427350427
978	11.3046495726496
979	10.3292307692308
980	9.33531623931623
981	8.35080341880342
982	7.37617094017094
983	6.42687179487179
984	5.53244444444444
985	4.69887179487179
986	3.94984615384615
987	3.2822905982906
988	2.69606837606837
989	2.19859829059829
990	1.79593162393162
991	1.47059829059829
992	1.20075213675214
993	0.981743589743589
994	0.795692307692307
995	0.620239316239315
996	0.457914529914529
997	0.330905982905982
998	0.249504273504273
999	0.190905982905983
1000	0.171760683760683
